eph_aglome,poblacion,area_m2,m2_hab
Bahia Blanca - Cerri,296583,3444560.3732154244,11.614153114694451
CABA,2888806,14556284.849025263,5.038858562681351
Comodoro Rivadavia - Rada Tilly,184294,894896.458355766,4.855808970209372
Concordia,146341,1957259.484865354,13.374648832967889
Corrientes,344546,657107.6834024186,1.907169676624946
Formosa,220160,597932.160210138,2.715898256768432
Gran Catamarca,181846,1307270.810900894,7.188889559852259
Gran Córdoba,1433873,8692985.005450644,6.062590623751646
Gran La Plata,779377,3101728.4720503436,3.9797536648506995
Gran Mendoza,931503,8405786.599245196,9.02389643323231
Gran Paraná,263315,1922918.5326920648,7.3027306940055245
Gran Resistencia,385726,1989298.2008136353,5.1572831512877935
Gran Rosario,1233420,7942111.656563559,6.4390975146856375
Gran San Juan,479819,2186736.6616539736,4.557419905535157
Gran Santa Fe,483247,1883790.0603469806,3.8981929744974737
Gran Tucumán - Tafi Viejo,828588,3714778.791029729,4.483264048030781
Jujuy - Palpalá,289343,1354392.0602915979,4.680922159138454
La Rioja,177807,1675127.2073743436,9.421041957708885
Mar del Plata - Batán,593296,6489267.6490259785,10.937656159869574
Neuquén - Plottier,251683,1432415.2821914444,5.691346980890423
Partidos del GBA,10646088,25099926.593531862,2.3576666465214133
Posadas,317297,1589984.4542197934,5.011028954638063
Rawson - Trelew,129306,321521.8981295406,2.486519559258972
Rio Cuarto,162695,1682411.8590255075,10.340894674240188
Rio Gallegos,95796,330721.82705706067,3.4523552868288934
Salta,547902,2208707.315951396,4.031208712418271
San Luis - El Chorrillo,195596,2483684.8035147334,12.698034742605849
San Nicolas - Villa Constitución,174650,1044937.2030407157,5.983035803267768
Santa Rosa - Toay,113536,1083464.0750127975,9.542912160132447
Santiago del Estero - La Banda,355101,1845096.424009486,5.195976423635772
Ushuaia - Rio Grande,123068,397507.3274348533,3.229981209045839
Viedma - Carmen de Patagones,73322,966031.5317298917,13.175193417117532
