aglomerado,lon,lat
Bahía Blanca - Cerri,-62.275962,-38.712755
Comodoro Rivadavía - Rada Tilly,-67.521167,-45.866528
Concordia,-58.017434,-31.3913921
Corrientes,-58.8306349,-27.4692131
Formosa,-58.1755669,-26.1857768
Gran Buenos Aires,-58.62763,-34.636853
Gran Catamarca,-65.778918,-28.468906
Gran Córdoba,-64.183643,-31.416755
Gran La Plata,-57.954533,-34.921271
Gran Mendoza,-68.844524,-32.889733
Gran Paraná,-60.5296227,-31.732355600000002
Gran Resistencia,-58.9871484,-27.4550416
Gran Rosario,-60.6505388,-32.9442426
Gran San Juan,-68.52497,-31.537265
Gran Santa Fe,-60.70537,-31.624675
Gran Tucumán - Tafi Viejo,-65.218903,-26.828051
Jujuy - Palpalá,-65.299035,-24.194363
La Rioja,-66.8564579,-29.4134538
Mar del Plata - Batán,-57.596424,-38.00991
Neuquén - Plottier,-68.22885,-38.9475672
Posadas,-55.9008746,-27.3621374
Rawson - Trelew,-65.3076351,-43.2493016
Río Cuarto,-64.3493441,-33.1231585
Rio Gallegos,-69.2168291,-51.6230485
Salta,-65.4231976,-24.7821269
San Luis - El Chorrillo,-66.2585144,-33.2992363
San Nicolas - Villa Constitución,-60.250241,-33.332863
Santa Rosa - Toay,-64.2912369,-36.620922
Sgo del Estero - La Banda,-64.272544,-27.803216
Ushuahia - Río Grande,-67.7106842,-53.7711864
Viedma - Carmen de Patagones,-62.9827295,-40.8102465
